birth_year,trips_by_birth_year,percent_of_total_trips
,0,0.0000
1874,6,0.0000
1884,2,0.0000
1885,2202,0.0041
1886,157,0.0003
1887,568,0.0011
1888,262,0.0005
1889,16,0.0000
1890,18,0.0000
1893,175,0.0003
1894,289,0.0005
1895,89,0.0002
1896,45,0.0001
1897,4,0.0000
1899,1712,0.0032
1900,12543,0.0236
1901,1856,0.0035
1903,3,0.0000
1905,3,0.0000
1907,178,0.0003
1909,15,0.0000
1910,1063,0.0020
1912,426,0.0008
1913,177,0.0003
1915,25,0.0000
1916,52,0.0001
1917,615,0.0012
1918,320,0.0006
1919,50,0.0001
1920,113,0.0002
1921,576,0.0011
1922,465,0.0009
1923,1458,0.0027
1924,96,0.0002
1925,33,0.0001
1926,814,0.0015
1927,212,0.0004
1928,70,0.0001
1929,323,0.0006
1930,306,0.0006
1931,355,0.0007
1932,2176,0.0041
1933,1406,0.0026
1934,2545,0.0048
1935,3023,0.0057
1936,3655,0.0069
1937,3484,0.0066
1938,9511,0.0179
1939,6186,0.0116
1940,19037,0.0358
1941,30536,0.0575
1942,40381,0.0760
1943,25758,0.0485
1944,39091,0.0736
1945,44741,0.0842
1946,64534,0.1215
1947,90043,0.1695
1948,108504,0.2043
1949,109835,0.2068
1950,137741,0.2594
1951,193367,0.3641
1952,204016,0.3841
1953,294651,0.5548
1954,333712,0.6284
1955,337783,0.6360
1956,403916,0.7605
1957,449455,0.8463
1958,503206,0.9475
1959,545195,1.0266
1960,639427,1.2040
1961,598333,1.1266
1962,711445,1.3396
1963,750125,1.4124
1964,770926,1.4516
1965,773781,1.4570
1966,763315,1.4373
1967,830076,1.5630
1968,870105,1.6383
1969,1410463,2.6558
1970,1101860,2.0747
1971,990507,1.8651
1972,961865,1.8111
1973,961410,1.8103
1974,1058927,1.9939
1975,1039018,1.9564
1976,1123237,2.1150
1977,1170578,2.2041
1978,1254927,2.3629
1979,1332507,2.5090
1980,1444723,2.7203
1981,1593500,3.0004
1982,1661725,3.1289
1983,1813284,3.4143
1984,1863007,3.5079
1985,1952862,3.6771
1986,1888212,3.5554
1987,1844892,3.4738
1988,1852956,3.4890
1989,1811455,3.4108
1990,1692778,3.1874
1991,1376270,2.5914
1992,1118923,2.1069
1993,864642,1.6281
1994,559726,1.0539
1995,366192,0.6895
1996,255043,0.4802
1997,172856,0.3255
1998,131231,0.2471
1999,74922,0.1411
2000,35246,0.0664
2001,11150,0.0210
2002,723,0.0014
